,datetime,btc_open,btc_high,btc_low,btc_close,btc_volume,btc_inflow_total,btc_outflow_total,btc_netflow_total,btc_coinbase_premium_index,btc_coinbase_premium_gap
91,2022-01-04 11:00:00,46629.88990407,46775.67960753,46597.13465491,46734.25110782,3029.203677093972,1429.68884831,1564.44035388,-134.75150557000006,0.00338085,1.58
92,2022-01-04 12:00:00,46736.6192648,46771.14663817,46478.06961491,46638.63734702,2477.934550630011,2744.07629861,3208.82100735,-464.7447087400001,-0.01528681,-7.13
93,2022-01-04 13:00:00,46638.59320575,47078.40679724,46410.15261322,46969.24647708,5088.746315123139,2517.2239964,3928.7548324,-1411.530836,0.03416021,16.04
94,2022-01-04 14:00:00,46967.40345365,47531.06930622,46821.4652486,47338.60810085,8178.616999335413,3188.75562649,3614.19904142,-425.44341493,0.01033098,4.89
95,2022-01-04 15:00:00,47340.5265286,47551.87463734,46847.85850626,46910.58553521,6601.12581661533,1582.89230416,2042.08603752,-459.1937333599999,-0.05402197,-25.35
96,2022-01-04 16:00:00,46918.62145663,46919.13141844,46636.51057821,46765.76706718,5374.950212740082,1663.23154536,2466.99323238,-803.76168702,-0.01667833,-7.8
97,2022-01-04 17:00:00,46764.15942007,46980.64914899,46521.02755134,46549.54205215,2298.0682210434725,1009.17967818,1365.47376197,-356.29408378999995,-0.03211255,-14.95
98,2022-01-04 18:00:00,46552.12087612,46718.53604226,45511.42114303,45739.29732316,11598.360566739806,2416.10268846,1223.30999376,1192.7926947,-0.03036066,-13.89
99,2022-01-04 19:00:00,45739.5728932,46454.221084,45572.90944249,46042.10431448,8237.62554560641,2824.35835695,2625.08780279,199.2705541600003,-0.02699102,-12.43
100,2022-01-04 20:00:00,46045.48458252,46423.81433354,45950.83059284,46262.03026405,3250.8444072485445,2090.32230779,1715.64404172,374.6782660700003,-0.01895605,-8.77
101,2022-01-04 21:00:00,46258.3475917,46318.62064068,46019.41653633,46218.73298065,2403.707824283433,1955.60383668,624.91158463,1330.6922520500002,-0.0130674,-6.04
102,2022-01-04 22:00:00,46218.40964459,46245.86805081,45945.93603356,46149.78881705,2244.4867471596235,1660.81745898,1728.85369256,-68.03623357999982,-0.0155113,-7.16
103,2022-01-04 23:00:00,46148.80541347,46152.65102496,45750.00591228,45823.67625179,3310.656326950738,853.15961595,507.3877628,345.77185314999997,-0.03796473,-17.4
104,2022-01-05 00:00:00,45825.24717839,46312.51015799,45713.17385283,46268.40562381,3360.039498512602,1585.7587913,812.16469489,773.59409641,-0.00211793,-0.98
105,2022-01-05 01:00:00,46272.19692545,46334.97378051,46101.68427739,46107.44360876,2274.8065834700956,838.86464652,806.18514333,32.67950318999999,-0.02264077,-10.44
106,2022-01-05 02:00:00,46109.60437279,46393.69784192,46107.69005082,46299.58782296,2113.436936996207,751.462663,530.98202815,220.48063485,0.00576712,2.67
107,2022-01-05 03:00:00,46296.83466068,46550.42859266,46296.35282846,46422.00180576,2114.6646158647036,1457.8197322,1306.08157654,151.73815566000007,0.01036134,4.81
108,2022-01-05 04:00:00,46426.6731425,46527.39170748,46349.70779341,46412.87089347,1448.3816741622006,1406.32338489,1211.71869063,194.60469425999983,-0.00532162,-2.47
109,2022-01-05 05:00:00,46414.43500201,46414.87797695,46246.09478898,46303.90810557,1535.5158133515192,1330.68446983,851.54372497,479.1407448599999,0.00261323,1.21
110,2022-01-05 06:00:00,46303.98232557,46468.37958636,46245.91672583,46452.90400462,1381.8985720530156,587.68397327,2644.25655582,-2056.57258255,0.00781485,3.63
111,2022-01-05 07:00:00,46450.64898946,46493.1528514,46335.24426646,46407.77718748,1373.4998452178722,1149.99232837,976.72703305,173.26529531999995,-0.00073264,-0.34
112,2022-01-05 08:00:00,46407.73525488,46680.1567119,46261.65535064,46640.96068933,2535.974182481627,1183.99697922,2117.31594718,-933.31896796,0.00853307,3.98
113,2022-01-05 09:00:00,46643.57939308,46952.72553769,46575.08352692,46861.63303266,3433.8573114057995,444.52967713,569.62574584,-125.09606871000004,-0.00529248,-2.48
114,2022-01-05 10:00:00,46862.41267358,47072.51015819,46634.84538341,46819.52908729,3763.852707652022,2264.79018977,1478.95513016,785.8350596099999,0.00499802,2.34
115,2022-01-05 11:00:00,46822.24585242,46859.57375224,46110.45538136,46271.40996362,4024.341874276946,1830.36108543,1548.65500089,281.7060845399999,0.008407,3.89
116,2022-01-05 12:00:00,46269.93574637,46347.11427235,45856.44462203,46230.87104193,5297.964189538688,834.78005833,1053.8103364,-219.03027807000012,0.00015142,0.07
117,2022-01-05 13:00:00,46228.75638797,46461.11978656,46077.41373931,46431.40440339,3564.2809515844415,1138.95340012,910.37711329,228.57628682999996,-0.00846253,-3.93
118,2022-01-05 14:00:00,46432.50938492,46831.28073445,46148.5702928,46706.27151795,6197.200669026954,2226.1633658,2965.49467258,-739.33130678,0.02098972,9.8
119,2022-01-05 15:00:00,46705.38521016,46827.71363736,46373.71389191,46622.57427126,4535.010464361811,1240.86695437,1134.23180028,106.63515409,0.01537883,7.17
120,2022-01-05 16:00:00,46625.98534581,46676.60625204,44879.7695565,46302.18624115,3249.2105882964556,1222.71918321,1433.45042565,-210.73124243999996,-0.00805587,-3.73
121,2022-01-05 17:00:00,46300.98375322,46467.40089462,45997.16411586,46008.4870736,3947.812697692452,2079.81405618,2674.22170102,-594.4076448400001,-0.00699837,-3.22
122,2022-01-05 18:00:00,46009.90135901,46325.45499085,45543.82821478,45913.68230122,10092.277838504122,1928.7579734,2209.55708621,-280.79911280999977,-0.00529182,-2.43
123,2022-01-05 19:00:00,45916.89428038,46108.62228534,44578.14548744,44668.06520668,25490.952855359883,1654.90189541,1115.73186263,539.1700327799999,-0.2025246,-90.5
124,2022-01-05 20:00:00,44670.57437463,44834.86887477,43660.7659154,43957.31727412,21327.93433147458,6917.06932384,7683.18912027,-766.11979643,-0.10223574,-44.95
125,2022-01-05 21:00:00,43959.55588625,44317.67677813,43397.06510208,43597.41829521,10370.679593558863,1918.90351567,1409.93108762,508.97242805,-0.04022348,-17.54
126,2022-01-05 22:00:00,43591.2988966,43789.25582373,42482.86240755,43431.07988732,16859.013518826414,4237.04314672,7370.36706638,-3133.3239196600007,-0.00923175,-4.01
127,2022-01-05 23:00:00,43430.81336864,43704.90949318,43233.40254431,43449.28599509,6842.074036297781,1320.66230744,1434.23008903,-113.5677815900001,-0.03472867,-15.09
128,2022-01-06 00:00:00,43445.23585795,43767.28509716,43265.72859246,43677.49732163,6745.926363107545,762.92712843,487.86816981,275.05895862000006,0.01671209,7.3
129,2022-01-06 01:00:00,43677.0879388,43794.97116065,43300.83970851,43548.04489182,5023.709784312255,4921.82552888,3323.18532545,1598.64020343,0.01320543,5.75
130,2022-01-06 02:00:00,43537.73661812,43613.82665902,43144.47023963,43256.20439155,4199.164775790561,3042.56302926,4158.73658986,-1116.1735606000002,-0.0120667,-5.22
131,2022-01-06 03:00:00,43255.41961353,43304.43314217,42809.34192054,42830.01910971,6190.052567193909,4687.95139324,4472.58748396,215.36390927999943,-0.02287849,-9.8
132,2022-01-06 04:00:00,42833.19452421,43145.19645246,42593.88334955,43024.07692769,7284.146418368772,4301.66948603,3022.02542492,1279.6440611100002,-0.01161987,-5.0
133,2022-01-06 05:00:00,43022.46830278,43239.25777124,42799.70962331,43043.12635342,4714.7681561883155,1323.47148744,1009.37993923,314.0915482099999,-0.00634146,-2.73
134,2022-01-06 06:00:00,43049.78036029,43225.06529002,42894.64713712,43093.45125919,3287.352479534195,2202.98766005,1542.75165068,660.2360093700001,-0.04872132,-21.0
135,2022-01-06 07:00:00,43090.56326213,43263.4305188,42980.75747733,43230.34440284,3107.869028772908,757.66526821,693.22815436,64.43711385000006,-0.04032813,-17.44
136,2022-01-06 08:00:00,43238.00478332,43267.01893351,42904.41195993,43049.57953822,3911.315861365602,2429.86631359,1911.53849526,518.3278183300001,-0.0066426,-2.86
137,2022-01-06 09:00:00,43052.45991172,43084.38748818,42423.16119951,42589.70306952,7761.393085876458,3569.06325873,2563.90299397,1005.1602647600002,-0.03392188,-14.45
138,2022-01-06 10:00:00,42589.69892952,42944.7856768,42565.94221603,42877.61232926,5123.29470509356,1743.58709759,2888.18429137,-1144.5971937800002,0.00907207,3.89
139,2022-01-06 11:00:00,42877.65514644,42954.88300213,42677.60072474,42863.41437339,3272.7097986758977,2916.72173613,3901.26976596,-984.54802983,-0.04239903,-18.18
140,2022-01-06 12:00:00,42867.4181146,43053.44063585,42625.35379333,43044.84841073,3760.008030687513,1256.38802464,4108.58044289,-2852.19241825,-0.03285902,-14.15
141,2022-01-06 13:00:00,43046.50894553,43184.69138436,42894.61427019,43138.67607721,4736.715348223102,1700.62281166,1632.86158421,67.76122744999998,-0.01432213,-6.18
142,2022-01-06 14:00:00,43140.80173785,43242.1940576,42752.87327872,42786.57068815,5871.16073096181,2134.7237932,4086.72125725,-1951.99746405,-0.0446438,-19.11
143,2022-01-06 15:00:00,42790.75478663,43014.73011506,42652.86594431,42939.07098276,5678.851790275222,3006.96942859,3022.61263082,-15.643202230000044,-0.02712456,-11.65
144,2022-01-06 16:00:00,42940.36289714,43113.96321707,42732.99663178,42873.35946261,5084.18547951483,2874.39699396,3093.81856817,-219.42157421,-0.01266259,-5.43
145,2022-01-06 17:00:00,42873.99852316,43172.44879242,42786.42514437,43006.75362725,3934.446973235548,3478.12506178,2711.2445304,766.8805313800003,0.01332394,5.73
146,2022-01-06 18:00:00,43002.78209174,43397.9226206,42980.70907073,43368.00680407,4038.2485809200534,2180.51541587,2405.65667854,-225.14126266999983,0.03876037,16.81
147,2022-01-06 19:00:00,43373.95905909,43506.90146734,43225.50694273,43436.70867258,3671.033196533406,2846.18242753,2200.49074396,645.6916835699999,0.00856391,3.72
148,2022-01-06 20:00:00,43435.75738044,43632.57510192,43107.5679036,43207.24192411,4337.775370808967,1923.1618435,2088.7030816,-165.5412381000001,-0.01587173,-6.86
149,2022-01-06 21:00:00,43199.86004295,43249.12374954,43065.86882722,43119.58402943,2591.7925979061883,1807.88097659,1049.01419737,758.8667792200001,-0.0153059,-6.6
150,2022-01-06 22:00:00,43117.04756854,43238.73132022,43002.31670382,43176.91799262,1869.237002022745,1757.57781606,1531.67483199,225.90298407,-0.0235752,-10.18
